promedio_asistencia,promedio_seguimiento,nota_parcial_1,inicios_sesion_plataforma,uso_tutorias,riesgo_reprobacion
65.2,2.1,3.5,36,0,1
100.0,3.8,3.6,44,1,0
81.1,3.5,3.0,34,1,1
56.1,2.5,2.6,41,0,1
88.8,2.8,3.8,49,1,0
100.0,2.9,3.4,44,0,0
90.5,2.2,2.4,26,0,0
52.2,2.6,3.0,45,0,0
67.7,2.4,1.9,42,0,1
94.0,2.9,3.5,46,0,0
64.4,2.7,2.8,45,0,0
81.7,2.1,2.7,36,0,0
86.6,4.6,3.0,33,0,0
61.1,4.1,3.0,33,0,0
74.1,2.7,3.7,44,0,1
26.4,3.4,3.5,38,0,1
59.6,3.5,2.9,50,0,0
71.2,4.0,3.6,38,0,0
56.3,2.6,3.3,34,0,0
99.5,4.0,2.7,38,0,0
53.5,2.8,2.9,35,0,1
68.4,2.3,2.9,40,1,1
77.0,3.7,3.4,31,0,0
96.6,4.1,2.7,41,0,0
53.5,5.0,2.7,36,0,1
92.4,2.4,4.6,44,0,0
75.2,3.7,3.8,41,0,0
60.3,2.9,2.4,39,1,0
81.9,3.7,3.5,48,0,0
78.0,2.2,3.1,61,0,1
66.0,2.3,3.3,42,0,1
76.0,2.7,3.1,39,0,0
69.2,3.3,4.0,33,1,0
76.7,2.8,3.3,48,0,0
84.9,3.7,3.0,43,0,0
98.8,3.9,3.8,34,0,0
56.4,3.6,3.2,44,0,0
100.0,4.3,3.1,47,0,0
45.7,3.5,3.3,42,0,0
72.7,2.3,2.9,30,0,0
83.8,4.2,3.0,39,0,0
79.2,2.8,2.5,47,0,1
65.7,3.8,2.4,28,1,0
71.9,4.3,2.2,44,0,0
67.6,3.5,1.9,43,0,0
66.2,2.2,2.3,35,1,1
87.7,2.6,2.9,43,0,0
80.4,4.1,3.1,37,0,0
64.6,3.1,2.8,38,0,0
88.5,3.3,1.1,29,0,0
79.6,3.7,4.3,37,0,0
87.2,3.7,3.9,39,0,0
84.4,3.4,3.4,38,0,1
62.6,3.1,4.5,51,0,0
66.6,3.0,2.2,41,0,0
86.2,3.8,4.5,40,1,0
84.2,3.6,2.2,35,0,1
74.7,3.0,3.2,31,0,0
76.8,4.0,2.0,45,0,1
94.2,3.1,3.0,40,0,0
66.1,2.6,3.3,40,0,0
83.2,2.7,2.9,38,0,0
72.0,2.5,3.6,40,0,1
71.7,3.0,3.1,44,0,1
91.5,4.1,2.6,38,1,0
87.4,2.6,2.5,41,0,0
87.2,3.3,3.6,49,0,0
94.6,2.7,2.5,50,0,0
75.3,3.0,3.7,57,0,0
85.2,2.1,4.0,26,0,0
70.3,3.0,1.7,34,0,0
79.9,3.1,3.9,43,0,0
73.0,3.6,4.6,49,0,0
76.5,3.4,3.2,37,1,0
83.9,2.4,3.5,38,1,1
62.7,4.0,3.8,45,0,0
100.0,3.3,2.8,44,1,0
59.9,3.3,3.1,38,1,0
56.8,3.2,1.9,37,1,0
92.4,2.8,3.1,30,0,0
86.9,3.4,3.4,36,1,0
84.4,3.5,3.4,41,0,0
84.4,2.0,3.9,39,0,0
74.8,2.8,2.4,49,1,1
61.5,3.0,2.6,31,1,1
76.1,3.4,4.5,40,0,0
64.8,4.0,2.9,42,1,0
89.6,2.7,3.2,45,0,0
72.8,2.9,2.9,48,0,1
62.6,2.8,2.3,54,0,1
70.2,2.6,4.3,40,1,0
81.2,3.0,2.6,35,1,0
66.5,3.7,2.1,42,1,0
62.7,2.5,2.6,42,0,1
78.7,3.5,1.4,49,0,0
78.7,2.0,2.5,41,0,1
67.4,2.8,2.2,37,0,0
67.9,3.0,3.5,40,0,0
78.5,4.4,2.5,52,0,0
53.3,3.0,3.7,39,0,0
53.9,1.7,4.1,35,1,1
64.2,1.8,3.6,52,0,0
71.8,3.2,2.8,47,1,0
79.7,3.6,3.1,36,0,1
97.1,3.5,1.8,40,0,0
87.9,3.3,2.9,33,0,0
72.6,4.0,2.3,45,0,0
74.7,2.8,3.6,44,0,0
60.0,3.8,5.0,33,0,0
74.7,2.1,3.4,38,1,0
70.7,2.6,1.4,28,1,1
79.8,1.9,2.7,35,0,1
62.6,3.0,3.1,45,0,1
82.8,3.2,3.1,37,1,0
98.0,3.3,2.4,43,1,0
73.4,3.2,3.2,44,0,0
81.0,2.6,2.0,37,1,1
85.4,3.1,2.2,35,0,0
69.0,2.2,3.5,32,0,0
78.4,4.2,2.2,40,0,1
75.2,3.0,3.4,44,0,1
76.5,2.9,1.9,42,0,1
63.4,4.3,4.4,41,0,0
75.4,2.3,2.4,32,1,0
82.5,2.4,2.8,44,0,0
96.8,2.4,3.3,31,0,0
89.4,3.2,2.5,35,0,1
100.0,3.5,3.1,51,0,0
63.5,3.7,3.5,34,0,1
88.1,5.0,3.8,32,1,0
77.8,1.6,3.6,30,1,0
100.0,3.6,2.9,36,0,0
62.9,2.8,2.9,48,0,1
62.4,2.8,4.9,40,1,0
66.0,2.8,3.8,44,0,0
43.1,2.6,2.3,37,0,1
67.1,4.4,3.1,37,0,0
63.6,3.8,2.7,41,1,0
77.3,3.2,2.9,28,0,0
80.1,4.1,2.0,55,1,0
100.0,2.1,2.7,35,0,0
89.3,2.3,4.4,35,0,0
66.3,1.7,3.5,46,0,0
61.5,2.7,1.0,44,0,1
82.4,3.3,4.0,37,0,0
55.2,3.3,3.9,30,0,0
100.0,3.3,2.7,39,0,0
92.7,2.2,3.6,36,0,0
68.0,3.8,2.3,40,1,0
49.3,3.4,2.6,40,1,0
95.3,3.7,4.2,42,1,0
73.3,1.9,2.8,38,1,0
93.6,3.4,1.5,40,0,0
51.1,2.4,2.9,33,0,1
66.0,2.9,2.9,45,1,0
75.1,3.6,4.0,42,0,0
75.7,3.3,3.0,37,0,1
68.2,2.6,2.7,41,1,0
84.3,3.2,3.8,30,0,0
59.0,2.1,3.1,49,1,1
72.9,4.0,2.4,48,0,0
76.8,3.1,3.9,37,0,0
82.7,4.0,3.2,39,1,0
85.7,2.8,3.0,41,0,0
58.1,2.8,3.1,30,1,1
52.0,2.7,2.1,25,1,1
94.2,3.8,2.6,39,0,0
80.0,2.7,3.0,44,0,0
63.8,3.7,2.8,37,0,0
98.3,2.9,4.0,40,0,0
76.7,1.8,3.2,56,1,0
92.7,2.8,3.7,44,0,1
76.0,2.4,3.0,38,0,1
100.0,3.2,3.8,32,0,0
100.0,2.4,3.3,37,0,1
71.3,3.8,3.0,42,1,0
89.6,3.1,3.0,37,0,0
84.7,3.1,2.2,37,0,0
95.5,3.7,3.4,40,0,0
60.5,3.9,3.0,32,1,0
85.3,3.2,2.6,34,1,0
90.9,2.7,3.9,46,1,0
48.6,2.0,2.0,44,0,1
57.3,2.7,2.7,29,0,0
44.4,2.8,3.8,41,1,0
71.0,3.3,3.3,49,1,0
85.8,3.0,3.0,34,0,0
97.5,3.7,3.2,44,1,0
76.1,2.8,3.1,36,1,0
99.4,3.2,1.8,40,0,0
54.3,4.0,2.7,41,0,0
49.4,3.4,4.3,34,0,0
74.2,3.2,2.5,50,1,0
80.8,2.8,2.7,39,0,1
74.5,2.8,2.6,45,1,1
44.0,2.6,2.9,51,0,0
73.7,2.8,2.5,36,0,0
55.4,3.7,3.4,38,0,0
85.0,3.0,3.2,38,1,0
80.5,2.3,3.6,39,0,0
60.9,4.4,2.2,46,0,0
67.3,3.4,2.7,33,1,0
59.1,2.2,2.8,46,0,1
74.1,2.9,3.4,44,1,0
89.3,3.3,2.4,35,0,1
60.2,4.4,3.7,29,0,0
82.6,2.4,3.9,34,0,0
67.0,3.9,2.2,40,1,1
63.1,4.2,2.6,44,0,1
73.4,2.8,2.6,44,1,0
59.5,3.0,5.0,42,0,0
66.7,2.5,2.7,38,0,0
57.0,3.1,4.3,54,0,0
100.0,3.2,2.0,50,1,0
75.5,3.7,2.2,36,0,0
64.5,4.0,2.5,42,0,0
78.2,2.7,2.3,43,1,1
73.3,1.8,2.8,52,0,1
71.7,3.2,2.4,40,0,0
84.2,3.4,2.3,41,0,1
86.4,3.4,3.9,37,0,0
67.0,3.0,4.0,29,0,0
66.4,3.3,3.8,42,1,0
70.9,4.3,3.4,44,0,0
40.5,3.5,3.1,36,0,0
52.3,2.9,2.6,36,1,1
95.5,2.8,2.2,47,0,1
99.7,3.1,3.3,28,1,0
71.3,4.3,2.1,35,0,1
83.6,3.1,2.2,45,0,1
79.7,3.2,3.9,46,0,0
100.0,2.9,4.5,40,0,0
91.8,4.0,3.3,43,0,0
73.1,4.6,3.9,51,0,0
60.7,3.5,2.8,40,0,1
50.9,3.3,1.9,29,0,1
78.1,3.2,3.5,35,0,0
63.7,1.5,3.5,35,0,0
53.7,3.7,3.1,39,0,0
65.3,3.3,2.8,35,0,0
58.8,3.5,3.8,43,0,0
100.0,2.7,2.2,37,1,0
88.2,2.9,2.4,39,0,0
74.9,2.9,2.2,39,0,1
97.2,3.9,3.1,25,0,0
76.2,2.9,2.1,38,0,0
62.1,4.7,2.5,48,1,0
97.8,3.5,2.4,36,0,0
83.1,2.3,2.8,52,0,0
59.4,3.1,1.8,40,0,0
72.1,2.7,3.1,34,1,1
61.9,1.7,4.0,44,1,0
54.3,4.3,3.1,43,0,0
88.9,3.7,4.2,38,0,0
100.0,3.6,4.1,41,1,0
54.0,3.3,3.6,27,0,0
83.4,2.2,3.1,40,0,0
65.2,2.9,3.0,48,1,0
67.7,3.8,3.6,46,0,0
66.1,2.5,2.7,42,0,0
62.0,1.4,1.5,34,0,1
75.7,3.0,3.4,35,1,0
62.5,3.1,2.1,47,0,1
79.1,3.3,2.2,45,1,0
74.2,3.7,3.0,35,0,0
71.4,3.6,2.9,42,1,0
61.4,3.4,1.9,43,1,1
66.3,4.0,3.1,34,0,0
86.3,2.1,3.8,45,0,0
82.5,3.6,2.1,47,0,0
60.3,3.6,4.0,36,0,0
76.5,2.3,1.8,47,0,0
86.3,2.1,4.7,36,1,0
50.0,2.7,2.7,52,0,1
83.2,2.7,3.1,42,0,0
65.1,3.7,1.5,40,0,1
83.6,2.8,3.0,46,0,0
63.6,2.6,3.2,47,0,1
47.9,2.8,2.9,47,1,0
50.6,4.0,2.5,39,0,1
75.7,3.2,2.2,41,1,0
78.9,3.1,3.9,40,1,0
61.4,3.1,3.0,28,1,0
84.6,4.1,4.2,42,0,0
50.1,2.7,2.6,39,0,1
74.0,4.1,2.7,38,0,0
56.8,3.3,3.7,46,0,0
65.2,3.1,1.7,35,1,1
75.7,5.0,2.0,47,0,0
62.1,2.5,3.9,35,0,0
69.2,3.0,2.1,43,0,0
90.1,2.3,1.5,49,0,0
66.3,3.9,4.5,38,0,0
87.5,4.4,1.9,45,0,0
58.1,4.4,3.1,40,1,0
82.9,4.1,3.1,37,0,0
96.6,3.1,1.0,44,0,1
37.9,2.9,2.8,48,0,1
63.0,2.0,3.4,47,0,1
83.7,4.6,3.3,43,0,0
72.0,3.5,3.7,42,1,0
80.6,2.9,2.7,37,0,0
65.9,4.1,3.6,41,0,0
76.3,2.5,2.4,37,1,0
72.7,3.5,1.9,36,1,0
92.5,3.1,2.0,37,0,0
78.8,3.6,1.8,46,0,1
80.1,3.2,3.8,42,1,0
68.8,2.2,1.8,38,0,0
67.7,3.3,3.2,35,0,0
68.5,3.9,2.8,31,0,0
80.9,3.2,2.9,42,0,0
68.7,3.7,4.1,34,0,0
79.3,2.5,2.6,45,0,1
100.0,3.2,3.5,46,0,0
88.1,2.8,3.0,45,1,1
70.1,3.7,2.9,39,0,0
93.0,3.2,4.8,48,0,0
68.9,3.7,1.8,38,0,0
44.4,4.0,4.0,54,1,0
59.9,3.7,3.5,36,0,0
46.9,3.4,2.6,35,1,1
69.7,2.5,4.3,39,0,0
75.3,3.2,1.5,38,0,1
100.0,2.8,2.6,32,1,0
79.9,3.0,2.0,52,1,1
71.7,2.9,3.3,31,0,0
87.4,2.5,2.1,46,0,0
41.8,1.8,3.3,39,0,1
78.5,2.7,2.9,41,0,0
86.6,3.3,2.6,36,0,0
52.8,2.3,3.3,41,0,0
92.2,3.2,2.8,36,1,0
80.1,4.5,2.1,42,1,0
68.8,3.9,5.0,51,0,0
84.5,4.4,2.6,51,0,0
100.0,3.5,1.2,37,1,0
77.7,4.0,2.3,35,0,0
78.7,2.7,2.0,31,0,1
68.1,2.7,3.7,47,0,0
62.3,1.3,3.3,45,0,0
87.5,4.0,3.3,53,0,0
62.2,4.3,2.7,38,1,0
76.1,2.8,2.8,51,0,0
67.8,3.0,2.7,44,0,1
82.2,2.7,2.9,34,0,1
80.0,3.5,3.7,42,1,0
90.6,4.0,3.3,42,1,0
67.3,2.0,3.4,49,0,0
71.0,3.5,3.4,38,1,0
60.3,3.0,3.7,42,0,0
68.3,3.3,3.2,51,0,0
80.7,3.5,3.3,40,0,0
86.4,3.1,4.0,28,0,0
61.2,3.1,2.5,50,0,1
88.0,3.1,2.3,39,0,1
95.3,3.9,2.1,42,0,0
81.2,3.5,3.1,36,0,0
100.0,3.4,1.5,33,0,1
63.4,2.3,3.4,34,0,0
56.3,2.9,2.9,36,0,0
48.3,3.8,3.9,34,0,0
97.4,3.2,2.5,30,1,0
84.8,3.7,2.8,40,1,0
74.2,4.4,3.9,43,0,0
79.2,3.9,4.1,42,0,0
58.1,3.3,2.5,32,0,1
100.0,2.8,3.1,38,1,1
76.9,1.4,3.2,40,0,1
76.6,3.1,3.3,37,1,0
85.9,3.0,2.8,35,0,0
82.2,3.5,4.0,40,1,0
78.4,3.1,1.5,38,0,0
63.1,3.0,2.7,34,1,0
82.1,2.0,3.4,39,0,0
100.0,2.5,3.4,42,1,0
95.2,3.5,4.1,34,0,0
98.9,4.4,4.0,47,0,0
67.3,3.1,2.8,48,1,1
60.2,3.4,4.0,47,1,0
73.1,3.9,2.4,37,0,0
75.8,2.6,3.7,46,0,1
91.4,3.5,4.4,61,1,0
49.6,2.7,4.0,28,1,1
97.9,3.8,3.1,38,0,0
72.6,3.3,2.7,42,0,1
68.6,3.4,1.8,39,1,1
59.8,2.7,3.2,28,0,1
50.2,3.7,2.1,39,1,0
87.3,4.7,2.4,43,1,0
76.1,2.5,2.0,34,1,1
55.7,3.0,2.6,33,1,0
55.6,3.4,3.0,42,1,0
70.0,3.8,3.2,36,1,1
100.0,2.8,2.5,36,1,0
71.1,1.2,3.9,32,0,1
52.5,4.2,2.8,47,0,0
71.3,3.7,2.4,52,0,1
70.9,2.0,3.2,35,1,0
34.5,2.8,4.6,38,0,1
74.2,4.3,3.3,39,0,0
71.5,4.2,2.7,28,0,0
85.4,3.9,1.8,43,1,0
100.0,3.1,2.8,57,1,0
91.9,3.3,3.2,42,1,0
71.0,3.1,2.7,46,0,1
58.4,4.0,1.7,41,0,1
100.0,2.6,2.3,38,0,0
75.9,2.6,4.2,38,0,0
75.2,3.9,4.1,30,0,0
74.6,3.2,2.3,32,0,0
78.0,4.2,3.5,41,0,0
72.8,2.7,2.1,42,0,1
66.4,3.2,4.1,43,0,0
66.8,2.6,3.2,37,0,0
74.5,3.2,3.8,44,0,1
66.8,2.2,1.6,53,0,0
64.3,2.9,3.5,46,0,0
76.6,2.2,3.0,40,0,0
71.2,3.7,3.7,47,0,0
97.6,3.7,3.7,37,1,0
35.2,2.0,3.1,39,0,0
91.4,4.1,2.5,37,0,0
93.7,4.9,3.6,48,1,0
43.9,3.2,3.0,41,0,0
69.9,2.8,2.3,40,0,1
69.4,5.0,2.3,29,0,0
53.9,2.3,1.8,38,0,0
63.3,3.2,2.6,48,0,1
58.3,3.3,3.9,38,0,0
100.0,4.1,3.1,47,1,0
89.0,3.5,2.6,37,0,1
94.1,2.9,3.6,50,1,0
85.8,2.5,2.3,38,1,0
58.1,3.0,3.1,39,1,0
67.1,2.5,2.9,40,1,1
82.3,3.2,3.6,42,0,0
56.7,2.8,1.7,38,1,0
85.7,2.2,2.3,47,0,0
71.4,4.1,1.7,47,1,1
69.4,2.9,2.8,32,0,1
85.7,2.3,4.0,48,0,0
81.7,3.1,2.6,37,1,0
69.6,3.2,2.6,26,0,0
92.4,2.0,3.7,34,0,0
58.8,3.4,3.9,28,0,0
84.2,2.5,2.9,42,1,0
83.9,4.4,3.5,38,0,0
70.4,3.6,2.1,44,0,0
79.9,2.9,4.1,32,1,0
56.2,2.7,4.7,35,0,0
88.9,3.1,3.4,45,0,0
72.2,3.6,1.3,34,1,0
67.2,3.2,2.6,49,0,0
90.7,3.0,3.5,42,0,0
64.4,3.2,2.7,29,0,0
53.9,2.8,4.0,42,0,0
51.7,3.0,3.5,47,0,0
84.1,1.7,2.4,37,0,1
55.8,3.9,3.0,38,0,0
100.0,3.4,2.3,35,0,1
43.8,2.7,2.9,40,0,1
100.0,4.5,2.6,36,1,0
78.2,3.3,3.9,40,1,0
73.5,2.5,4.7,47,0,0
66.8,3.8,1.9,37,0,0
81.0,3.5,1.5,44,1,0
74.4,3.5,2.8,36,0,1
91.5,2.9,1.8,49,1,1
76.7,3.5,3.0,38,0,0
77.3,3.0,3.6,45,1,0
69.5,3.6,4.2,41,0,0
74.1,1.9,3.2,41,0,1
79.6,2.9,2.8,39,1,1
49.3,4.4,1.4,30,1,1
54.8,2.7,3.0,31,0,0
86.1,2.8,3.1,46,1,1
77.6,2.9,3.5,47,0,0
72.2,2.3,2.4,55,0,0
75.3,1.7,2.7,45,0,1
80.2,3.0,1.8,54,0,1
66.9,3.3,1.2,39,1,1
63.3,3.2,2.1,37,0,1
77.9,3.1,1.7,39,0,1
60.3,3.2,3.3,35,0,0
81.1,3.9,2.6,48,0,0
49.5,3.1,2.6,36,0,1
90.4,2.8,2.2,38,0,0
82.1,3.0,1.0,49,1,1
78.8,3.6,4.2,36,0,0
89.7,4.2,2.2,40,0,0
100.0,2.8,2.7,41,0,1
90.2,3.3,1.8,47,0,1
47.4,3.4,3.8,38,0,0
55.8,2.5,3.1,39,0,0
65.6,3.2,2.3,37,0,0
75.4,2.2,2.7,52,1,1
82.8,2.0,4.3,43,0,0
64.1,3.5,2.9,32,1,0
77.8,2.9,2.9,42,0,0
63.7,3.3,2.2,37,0,0
65.8,3.2,1.5,49,0,0
53.9,2.5,2.9,33,0,0
61.2,3.2,3.3,44,0,0
54.7,2.3,3.9,40,1,0
60.4,4.2,1.2,42,0,1
90.8,2.3,2.1,44,0,1
60.8,3.1,2.5,52,0,0
100.0,2.5,3.0,44,0,0
82.4,3.6,2.9,40,0,0
77.8,3.0,2.9,41,1,1
62.1,2.8,3.3,50,0,0
85.5,3.8,2.3,40,1,0
66.4,3.2,3.7,39,0,0
76.8,3.6,3.3,32,0,0
100.0,2.5,2.7,40,0,1
73.6,2.2,4.3,39,0,1
92.2,3.3,4.2,51,0,0
64.5,3.0,3.7,48,0,0
74.5,3.6,1.0,42,0,0
100.0,3.1,4.3,58,1,0
65.6,3.3,3.6,49,0,0
100.0,2.1,4.6,34,1,0
85.6,4.5,4.0,37,0,0
